lat,long,nombre_act,nom_estab,raz_social,per_ocu,tipo_vial,nom_vial,edificio,edificio_e,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,AGEB_int,geohash5km,tipoUniEco,fecha_alta
25.66638469,-100.3121518,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,RESTAURANTE BUCHACAS,PLATILLOS Y GUARNICIONES DEL NORTE SA DE CV,31 a 50 personas,ANDADOR,MARIANO ESCOBEDO,,,COLONIA,ZONA CENTRO,,,,64000,19,NuevoLeon,39,Monterrey,1,Monterrey                                                                                                     ,1741,1,1.90E+12,9u8dj,Fijo,2010-07
25.797558,-100.4809366,Restaurantes con servicio de preparación de tacos y tortas,TAQUERIA SIN NOMBRE,,0 a 5 personas,AVENIDA,MINERIA,,,COLONIA,VALLE DE LINCOLN,,,,66023,19,NuevoLeon,18,García,25,Valle de Lincoln                                                                                              ,1402,34,1.90E+12,9u8dc,Fijo,2019-11
25.6766041,-100.2616902,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",SNACK MARIA BONITA,,0 a 5 personas,CALLE,GUADALUPE,,,COLONIA,CENTRO DE GUADALUPE,,,,67100,19,NuevoLeon,26,Guadalupe,1,Guadalupe                                                                                                     ,029A,3,190260001029A,9u8dn,Fijo,2014-12
25.65343297,-100.3491197,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",POLLO BRASEADO,CERRADO LOS DOMINGOS SA DE CV,0 a 5 personas,AVENIDA,JOSE VASCONCELOS,CENTRO Y PLAZA COMERCIAL,PISO 1,COLONIA,VALLE DE SANTA ENGRACIA,CENTRO Y PLAZA COMERCIAL,PLAZA TANARAH,108,66267,19,NuevoLeon,19,San Pedro Garza García,1,San Pedro Garza García                                                                                        ,100,12,1.90E+12,9u89u,Fijo,2019-11
25.71512788,-100.1554101,Restaurantes con servicio de preparación de tacos y tortas,TACOS TUCAN,,0 a 5 personas,AVENIDA,GIRASOL,,,FRACCIONAMIENTO,HACIENDA LAS MARGARITAS,,,,66647,19,NuevoLeon,6,Apodaca,1,Ciudad Apodaca                                                                                                ,1882,7,1.90E+12,9u8f2,Fijo,2014-12
25.79399752,-100.5893494,Servicios de preparación de otros alimentos para consumo inmediato,CLUB DE NUTRICION SIN NOMBRE,,0 a 5 personas,CALLE,OLIVOS,,,COLONIA,AROLEDAS,,,,66000,19,NuevoLeon,18,García,1,García                                                                                                        ,230,39,1.90E+12,9u86x,Fijo,2019-11
25.69027177,-100.2543971,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",BURGUERS Y PAPAS RICKY,,6 a 10 personas,AVENIDA,LINDA VISTA,,,COLONIA,LINDA VISTA,,,,67130,19,NuevoLeon,26,Guadalupe,1,Guadalupe                                                                                                     ,162,19,1.90E+12,9u8dn,Fijo,2010-07
25.77365279,-100.3813738,Restaurantes con servicio de preparación de tacos y tortas,TACOS Y TORTAS MARTIN,,0 a 5 personas,CALLE,PLUMBAGO,,,COLONIA,MIRASOL 2 SECTOR,,,,64100,19,NuevoLeon,39,Monterrey,1,Monterrey                                                                                                     ,4303,2,1.90E+12,9u8de,Fijo,2014-12
25.66060562,-100.1489581,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,BOTANERO LA LUPE,LEMON PEPPER SA DE CV,11 a 30 personas,CALLE,CARRETERA A REYNOSA,CENTRO Y PLAZA COMERCIAL,PISO 1,COLONIA,TAMAULIPAS,CENTRO Y PLAZA COMERCIAL,PLAZA COMERCIAL EL MOLINETE,2301,67196,19,NuevoLeon,26,Guadalupe,1,Guadalupe                                                                                                     ,2154,32,1.90E+12,9u8cc,Fijo,2019-11
25.68955964,-100.1014159,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",SNACK SIN NOMBRE,,0 a 5 personas,CALLE,LOMA LARGA ORIENTE,,,FRACCIONAMIENTO,LOMAS ANZURES,,,,67258,19,NuevoLeon,31,Juárez,1,Ciudad Benito Juárez                                                                                          ,1870,32,1.90E+12,9u8f4,Fijo,2019-11
25.71862936,-100.2174711,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",CINNABON CAFE,LEVA NEGOCIOS Y FRANQUICIAS SA DE CV,0 a 5 personas,AVENIDA,CARRETERA MIGUEL ALEMAN,CENTRO Y PLAZA COMERCIAL,PISO 1,COLONIA,LA FE,CENTRO Y PLAZA COMERCIAL,PLAZA PASEO LA FE,200,66470,19,NuevoLeon,46,San Nicolás de los Garza,1,San Nicolás de los Garza                                                                                      ,790,1,1.90E+12,9u8dr,Fijo,2019-11
25.75455428,-100.3046638,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",MEGA PK2,,0 a 5 personas,AVENIDA,LAS TORRES,,,COLONIA,ITURBIDE,,,,66420,19,NuevoLeon,46,San Nicolás de los Garza,1,San Nicolás de los Garza                                                                                      ,945,5,1.90E+12,9u8dt,Fijo,2014-12
25.80801038,-100.2874103,Restaurantes con servicio de preparación de tacos y tortas,LA ESQUINA TACOS DE BARBACOA,,0 a 5 personas,CALLE,EMILIANO ZAPATA,,,COLONIA,LA ESPERANZA,,,,66052,19,NuevoLeon,21,General Escobedo,1,Ciudad General Escobedo                                                                                       ,1056,10,1.90E+12,9u8dv,Fijo,2019-11
25.69096175,-100.1340109,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,ARAMARK S.A. DE C.V.,ARAMARK SA DE CV,31 a 50 personas,AVENIDA,FINSA,,,PARQUE INDUSTRIAL,FINSA GUADAL.UPE AEROPUERTO,,,,67114,19,NuevoLeon,26,Guadalupe,1,Guadalupe                                                                                                     ,2900,3,1.90E+12,9u8f1,Fijo,2014-12
25.6956667,-100.4615269,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",TIENDITA ESCOLAR ESCUELA PRIMARIA SOLIDARIDAD 1 T.V,,0 a 5 personas,AVENIDA,PERIMETRAL SUR,,,COLONIA,SAN GILBERTO,,,,66369,19,NuevoLeon,48,Santa Catarina,1,Ciudad Santa Catarina                                                                                         ,1238,11,1.90E+12,9u8d1,Fijo,2019-11
25.66524958,-100.1878514,Restaurantes con servicio de preparación de antojitos,SIBERIA CLASIC TOAST,,0 a 5 personas,AVENIDA,DE LA PRIMAVERA,,,COLONIA,TRES CAMINOS,,,,67190,19,NuevoLeon,26,Guadalupe,1,Guadalupe                                                                                                     ,1616,9,1.90E+12,9u8f0,Fijo,2010-07
25.71686952,-100.3498369,Hoteles sin otros servicios integrados,HOTEL 25,,11 a 30 personas,CALLE,CIUDAD VICTORIA,,,COLONIA,MORELOS,,,,64180,19,NuevoLeon,39,Monterrey,1,Monterrey                                                                                                     ,495,29,1.90E+12,9u8dk,Fijo,2010-07
25.67384741,-100.2619401,Servicios de preparación de otros alimentos para consumo inmediato,CLUB DE NUTRICION,,0 a 5 personas,CALLE,JUAN ZUAZUA,,,COLONIA,CENTRO,,,,67100,19,NuevoLeon,26,Guadalupe,1,Guadalupe                                                                                                     ,444,15,1.90E+12,9u8dn,Fijo,2019-11
25.1827191,-99.83561054,Servicios de preparación de otros alimentos para consumo inmediato,SNACK SIN NOMBRE,,0 a 5 personas,CALLE,DOCTOR OSCAR TREVIÑO B.,,,COLONIA,ZARAGOZA,,,,67500,19,NuevoLeon,38,Montemorelos,1,Montemorelos                                                                                                  ,394,31,1.90E+12,9u3p2,Fijo,2019-11
25.66682918,-100.3074216,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",LA IGUANA PIZZA,,0 a 5 personas,CALLE,DIEGO DE MONTEMAYOR,,,COLONIA,BARRIO ANTIGUO,,,,64000,19,NuevoLeon,39,Monterrey,1,Monterrey                                                                                                     ,1756,8,1.90E+12,9u8dj,Fijo,2010-07
25.75512552,-100.2984359,Restaurantes con servicio de preparación de tacos y tortas,TACOS,,0 a 5 personas,CALLE,NAVARRA,,,COLONIA,ITURBIDE,,,,66420,19,NuevoLeon,46,San Nicolás de los Garza,1,San Nicolás de los Garza                                                                                      ,945,4,1.90E+12,9u8dt,Semifijo,2014-12
25.78325437,-100.2875151,Restaurantes con servicio de preparación de tacos y tortas,TACOS MONTU,,0 a 5 personas,CALLE,GENERAL FRANCISCO VILLA,,,COLONIA,HACIENDA EL CANADA,,,,66054,19,NuevoLeon,21,General Escobedo,1,Ciudad General Escobedo                                                                                       ,236,7,1.90E+12,9u8dt,Semifijo,2019-11
25.74156748,-100.3727626,Restaurantes con servicio de preparación de antojitos,PAMBAZOS Y TAMALES LA CATRINA,,0 a 5 personas,AVENIDA,NO REELECCION,,,COLONIA,VALLE VERDE SEGUNDO SECTOR,,,,64117,19,NuevoLeon,39,Monterrey,1,Monterrey                                                                                                     ,3413,13,1.90E+12,9u8d7,Fijo,2019-11
25.6562459,-100.2992951,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",DON KING,,0 a 5 personas,CALLE,PARICUTIN,,,COLONIA,NUEVO REPUEBLO,,,,64700,19,NuevoLeon,39,Monterrey,1,Monterrey                                                                                                     ,1991,37,1.90E+12,9u89v,Semifijo,2010-07
25.56286409,-100.2367414,Moteles,MOTEL  KIOTO,GRUPO NORPACIFICO SA DE CV,11 a 30 personas,CARRETERA,NACIONAL,,,COLONIA,NOVENTA SANTA LUCIA,,,,64987,19,NuevoLeon,39,Monterrey,1,Monterrey                                                                                                     ,3080,4,1.90E+12,9u89r,Fijo,2014-12
